iter	Passed	Remaining
722	1933	740
723	1936	738
724	1939	735
725	1942	732
726	1947	731
727	1950	728
728	1955	726
729	1959	724
730	1962	722
731	1964	719
732	1966	716
733	1968	713
734	1971	710
735	1975	708
736	1980	706
737	1983	704
738	1985	701
739	1988	698
740	1990	695
741	1992	692
742	1994	689
743	1997	687
744	2000	684
745	2003	682
746	2006	679
747	2008	676
748	2011	674
749	2016	672
750	2023	670
751	2027	668
752	2033	666
753	2040	665
754	2045	663
755	2048	661
756	2053	659
757	2055	656
758	2057	653
759	2059	650
760	2061	647
761	2062	644
762	2065	641
763	2070	639
764	2073	636
765	2075	634
766	2078	631
767	2083	629
768	2087	627
769	2092	624
770	2094	622
771	2097	619
772	2099	616
773	2102	613
774	2105	611
775	2109	608
776	2113	606
777	2116	603
778	2119	601
779	2123	598
780	2127	596
781	2130	593
782	2133	591
783	2136	588
784	2139	585
785	2145	584
786	2149	581
787	2152	579
788	2156	576
789	2159	573
790	2161	571
791	2162	568
792	2164	565
793	2166	562
794	2170	559
795	2173	556
796	2175	554
797	2178	551
798	2181	548
799	2183	545
800	2186	543
801	2190	540
802	2193	538
803	2196	535
804	2199	532
805	2201	529
806	2204	527
807	2206	524
808	2208	521
809	2211	518
810	2214	516
811	2217	513
812	2219	510
813	2221	507
814	2223	504
815	2226	502
816	2230	499
817	2233	496
818	2235	494
819	2238	491
820	2240	488
821	2243	485
822	2244	482
823	2248	480
824	2250	477
825	2253	474
826	2256	471
827	2258	469
828	2259	466
829	2262	463
830	2264	460
831	2267	457
832	2269	454
833	2272	452
834	2274	449
835	2276	446
836	2279	443
837	2281	440
838	2282	438
839	2284	435
840	2286	432
841	2288	429
842	2291	426
843	2294	424
844	2296	421
845	2299	418
846	2301	415
847	2303	412
848	2306	410
849	2308	407
850	2310	404
851	2312	401
852	2315	398
853	2317	396
854	2320	393
855	2322	390
856	2324	387
857	2326	384
858	2328	382
859	2330	379
860	2333	376
861	2336	373
862	2339	371
863	2341	368
864	2343	365
865	2346	363
866	2347	360
867	2353	357
868	2356	355
869	2360	352
870	2365	350
871	2381	349
872	2384	346
873	2387	344
874	2389	341
875	2392	338
876	2395	336
877	2398	333
878	2401	330
879	2404	327
880	2407	325
881	2411	322
882	2414	319
883	2416	317
884	2419	314
885	2422	311
886	2426	309
887	2428	306
888	2432	303
889	2444	302
890	2450	299
891	2453	297
892	2456	294
893	2459	291
894	2462	288
895	2466	286
896	2469	283
897	2472	280
898	2477	278
899	2483	275
900	2487	273
901	2490	270
902	2497	268
903	2500	265
904	2503	262
905	2505	260
906	2509	257
907	2511	254
908	2515	251
909	2519	249
910	2529	247
911	2535	244
912	2538	241
913	2540	239
914	2543	236
915	2546	233
916	2550	230
917	2554	228
918	2558	225
919	2565	223
920	2569	220
921	2572	217
922	2576	214
923	2579	212
924	2581	209
925	2584	206
926	2587	203
927	2591	201
928	2594	198
929	2597	195
930	2601	192
931	2609	190
932	2612	187
933	2615	184
934	2620	182
935	2623	179
936	2626	176
937	2629	173
938	2633	171
939	2637	168
940	2639	165
941	2642	162
942	2645	159
943	2648	157
944	2651	154
945	2655	151
946	2664	149
947	2667	146
948	2671	143
949	2674	140
950	2677	137
951	2680	135
952	2683	132
953	2688	129
954	2692	126
955	2694	124
956	2696	121
957	2701	118
958	2705	115
959	2708	112
960	2710	110
961	2713	107
962	2715	104
963	2718	101
964	2721	98
965	2724	95
966	2727	93
967	2733	90
968	2736	87
969	2740	84
970	2742	81
971	2750	79
972	2752	76
973	2754	73
974	2757	70
975	2762	67
976	2765	65
977	2767	62
978	2770	59
979	2772	56
980	2774	53
981	2776	50
982	2778	48
983	2780	45
984	2782	42
985	2783	39
986	2786	36
987	2791	33
988	2795	31
989	2798	28
990	2801	25
991	2803	22
992	2806	19
993	2808	16
994	2810	14
995	2812	11
996	2814	8
997	2816	5
998	2818	2
999	2822	0
